"cpg_grouping","tile_methode","model_id","dataset","model","organ","rsq_threshold","filter","epse","mae","r_squared_value"
"Point","Point",60,"Train","Lasso","All_organs","r2_0.3","min10",1,1.89783744616777,0.928961069447695
"Point","Point",60,"Validation","Lasso","All_organs","r2_0.3","min10",1,4.50827604424289,0.214977041503462
"Point","Point",61,"Train","Lasso","All_organs","r2_0.3","min20",1,0.856188407042331,0.969078213197899
"Point","Point",61,"Validation","Lasso","All_organs","r2_0.3","min20",1,6.58475279656063,0.226002123924799
"Point","Point",62,"Train","Lasso","All_organs","r2_0.3","min5",1,0.167133289029211,0.999649962732245
"Point","Point",62,"Validation","Lasso","All_organs","r2_0.3","min5",1,4.48616604972715,0.269898709701907
"Point","Point",63,"Train","Lasso","All_organs","r2_0.3","nofilter",1,0.166431039151965,0.999658014721863
"Point","Point",63,"Validation","Lasso","All_organs","r2_0.3","nofilter",1,4.29759668047598,0.3219885573502
"Point","Point",64,"Train","Lasso","Brain","r2_0.05","min10",1,2.3335536566981,0.929739538937245
"Point","Point",64,"Validation","Lasso","Brain","r2_0.05","min10",1,3.87535906466623,0.696032533958757
"Point","Point",65,"Train","Lasso","Brain","r2_0.05","min20",1,3.17294239403488,0.893861123352314
"Point","Point",65,"Validation","Lasso","Brain","r2_0.05","min20",1,5.10669799418135,0.305189884454431
"Point","Point",66,"Train","Lasso","Brain","r2_0.05","min5",1,2.98621355348853,0.871402545238578
"Point","Point",66,"Validation","Lasso","Brain","r2_0.05","min5",1,4.54610592208599,0.534371209354454
"Point","Point",67,"Train","Lasso","Brain","r2_0.05","nofilter",1,1.91267015666254,0.965385171657644
"Point","Point",67,"Validation","Lasso","Brain","r2_0.05","nofilter",1,6.33086627529213,0.560795201196464
"Point","Point",68,"Train","Lasso","Brain","r2_0.1","min10",1,1.53512642607397,0.973574558924742
"Point","Point",68,"Validation","Lasso","Brain","r2_0.1","min10",1,1.95949835746326,0.878355302507673
"Point","Point",69,"Train","Lasso","Brain","r2_0.1","min20",1,0.155390593419258,0.999699636577272
"Point","Point",69,"Validation","Lasso","Brain","r2_0.1","min20",1,3.73477379056129,0.700152852007787
"Point","Point",70,"Train","Lasso","Brain","r2_0.1","min5",1,2.53192536738485,0.92086211404916
